pair,combo,id,reasons,short_preview
"asc_jupiter","aquarius_taurus","122","short words: 11 (need 12-25)","Упрямо держится за привычное, но если увлекается — внедряет новое основательно."
"asc_jupiter","aquarius_gemini","123","short words: 11 (need 12-25)","Может часами обсуждать абстрактные идеи, но быстро теряет интерес к однообразию."
"asc_jupiter","aquarius_cancer","124","banned: ""быть собой""","Кажется отстранённым, но на самом деле очень раним и ищет надёжное убежище."
"asc_jupiter","aquarius_leo","125","short words: 9 (need 12-25)","Хочет устроить революцию, но так, чтобы все аплодировали стоя."
"asc_jupiter","aquarius_virgo","126","short words: 8 (need 12-25); full words: 84 (need 50-80)","Придумывает гениальную схему, а потом полгода проверяет расчёты."
"asc_jupiter","aquarius_libra","127","short words: 8 (need 12-25); banned: ""уникальность""","Говорит смелые вещи таким тоном, будто обсуждает погоду."
"asc_jupiter","aquarius_scorpio","128","short words: 9 (need 12-25); full words: 81 (need 50-80)","Молчаливо наблюдает за системой, чтобы потом её взорвать изнутри."
"asc_jupiter","aquarius_sagittarius","129","full words: 88 (need 50-80); banned: ""будет""","Готов сорваться в поездку за час до отъезда, если ему кажется, что там будет инт"
"asc_jupiter","aquarius_capricorn","130","full words: 82 (need 50-80); banned: ""будет""","Сначала долго присматривается к ситуации, а потом действует так, будто всё давно"
"asc_jupiter","aquarius_pisces","132","full words: 83 (need 50-80)","Может долго размышлять над идеей, которая кажется утопичной, а потом найти в ней"
"asc_jupiter","pisces_leo","137","short words: 11 (need 12-25)","Мечтает о сцене, но боится выходить на неё без аплодисментов заранее."
"asc_jupiter","pisces_virgo","138","short words: 11 (need 12-25); full words: 83 (need 50-80)","Старается сделать мир лучше через мелочи, но забывает позаботиться о себе."
"asc_jupiter","pisces_libra","139","full words: 82 (need 50-80); banned: ""будет""","Легко находит общий язык с кем угодно, но теряет себя в попытках угодить всем."
"asc_jupiter","pisces_scorpio","140","short words: 11 (need 12-25)","Видит то, что другие прячут, и молчит об этом до последнего."
"asc_mars","aries_taurus","2","banned: ""будет""","Если что-то задумал — пробьёт стену лбом, но своего добьётся даже через месяц."
"asc_mars","aries_gemini","3","banned: ""будет""","Загорается новой идеей каждые полчаса и бросается её воплощать, не дослушав инст"
"asc_mars","aries_leo","5","short words: 11 (need 12-25)","Мгновенно загорается идеей и готов вести за собой, но требует признания."
"asc_mars","aries_virgo","6","short words: 10 (need 12-25)","Сначала бросается в дело, а потом долго перепроверяет каждую мелочь."
"asc_mars","aries_scorpio","8","short words: 10 (need 12-25); banned: ""будет""; banned: ""энергия""","Вспыхивает мгновенно, но обиды помнит долго и не всегда показывает."
"asc_mars","aries_capricorn","10","banned: ""будет""","Может резко взяться за сложный проект, а потом упрямо доводить его до конца чере"
"asc_mars","taurus_taurus","14","banned: ""будет""","Упрямый и основательный: если взялся за дело, доведёт до конца несмотря ни на чт"
"asc_mars","taurus_cancer","16","short words: 11 (need 12-25); banned: ""будет""","Долго присматривается к новому, но если доверился — становится надёжной опорой."
"asc_mars","taurus_libra","19","full words: 84 (need 50-80)","Долго взвешивает все за и против, а потом упрямо стоит на принятом решении, даже"
"asc_mars","taurus_scorpio","20","full words: 84 (need 50-80)","Внешне невозмутимый, но внутри кипит такой вулкан, что окружающие редко догадыва"
"asc_mars","taurus_sagittarius","21","full words: 81 (need 50-80)","Способен долго планировать поездку, а в последний момент изменить маршрут, подда"
"asc_mars","taurus_pisces","24","full words: 82 (need 50-80)","С виду покладистый, но, если задеть его убеждения, может проявить неожиданную тв"
"asc_mars","gemini_aries","25","full words: 81 (need 50-80)","Может загореться идеей за секунду и тут же начать действовать, не дослушав инстр"
"asc_mars","gemini_taurus","26","full words: 95 (need 50-80)","Долго взвешивает все за и против, но если решение принято — стоит на своём насме"
"asc_mars","gemini_gemini","27","full words: 96 (need 50-80)","Говорит быстрее, чем думает, и постоянно перескакивает с одной темы на другую."
"asc_mars","gemini_cancer","28","banned: ""будет""","Сначала бросается в разговор с головой, а потом переживает, не сказал ли лишнего"
"asc_mars","gemini_sagittarius","33","full words: 91 (need 50-80)","Способен за вечер переписать свой жизненный план трижды и к утру забыть о нём."
"asc_mars","gemini_aquarius","35","full words: 85 (need 50-80)","Может загореться идеей в три часа ночи и тут же начать звонить друзьям, чтобы об"
"asc_mars","gemini_pisces","36","full words: 84 (need 50-80)","Может забыть о встрече, потому что увлёкся чтением статьи в интернете и потерял "
"asc_mars","cancer_leo","41","banned: ""будет""","Сначала долго присматривается, а потом выходит на сцену так, будто всегда там бы"
"asc_mars","cancer_libra","43","banned: ""будет""","Старается всем угодить, но внутри постоянно колеблется между безопасностью и кра"
"asc_mars","cancer_sagittarius","45","full words: 100 (need 50-80)","Он может быть одновременно застенчивым в новой компании и дерзким в привычной об"
"asc_mars","cancer_capricorn","46","full words: 90 (need 50-80)","Он производит впечатление человека, который всё держит под контролем, хотя внутр"
"asc_mars","cancer_aquarius","47","full words: 94 (need 50-80)","Сначала кажется, что его легко сбить с толку, но на деле он просто даёт себе вре"
"asc_mars","cancer_pisces","48","full words: 93 (need 50-80)","Он легко считывает настроение окружающих и часто подстраивается под них раньше, "
"asc_mars","leo_cancer","52","short words: 11 (need 12-25)","Сначала бурно реагирует, а потом долго переживает, не сказал ли лишнего."
"asc_mars","leo_leo","53","full words: 88 (need 50-80)","Привык быть в центре, но не ради внимания — ради того, чтобы чувствовать себя жи"
"asc_mars","leo_virgo","54","full words: 89 (need 50-80); banned: ""будет""","Хочет быть на виду, но постоянно проверяет себя — вдруг где-то ошибка."
"asc_mars","leo_libra","55","full words: 96 (need 50-80)","Хочет быть центром внимания, но при этом старается никого не задеть — порой это "
"asc_mars","leo_scorpio","56","full words: 82 (need 50-80)","Может выглядеть спокойным, но внутри всё бурлит — просто он не показывает этого "
"asc_mars","leo_capricorn","58","short words: 10 (need 12-25); full words: 81 (need 50-80)","Сначала строит детальный план, а потом действует, чтобы добиться признания."
"asc_mars","leo_aquarius","59","short words: 11 (need 12-25)","Может загореться глобальной идеей, а через минуту переключиться на другой проект"
"asc_mars","virgo_aries","61","full words: 44 (need 50-80)","Планирует до мелочей, но в последний момент срывается и делает всё по-своему."
"asc_mars","virgo_taurus","62","short words: 11 (need 12-25); full words: 44 (need 50-80)","Всё делает медленно, но надёжно: если взялся — доведёт до идеала."
"asc_mars","virgo_gemini","63","short words: 9 (need 12-25); full words: 48 (need 50-80)","Постоянно переключается между делами, любит спорить и всё анализировать."
"asc_mars","virgo_cancer","64","short words: 11 (need 12-25); full words: 39 (need 50-80)","Выражает заботу через действия и мелкие услуги, но ждёт ответной теплоты."
"asc_mars","virgo_libra","67","full words: 43 (need 50-80)","Старается всё сделать идеально, но так, чтобы никого не задеть и сохранить гармо"
"asc_mars","virgo_scorpio","68","full words: 43 (need 50-80)","Подмечает каждую деталь, копит наблюдения, а потом одним точным действием решает"
"asc_mars","virgo_aquarius","71","short words: 10 (need 12-25)","Придумывает гениальные схемы, но потом сам запутывается в собственных инструкция"
"asc_mars","libra_taurus","74","full words: 83 (need 50-80)","Спокойно выслушает все аргументы, а потом сделает по-своему — с вежливой улыбкой"
"asc_mars","libra_gemini","75","full words: 81 (need 50-80)","Может за пять минут переубедить собеседника и сам же передумать через час."
"asc_mars","libra_cancer","76","banned: ""будет""","Прежде чем ответить, представит, как его слова ранят собеседника — и часто промо"
"asc_mars","libra_leo","77","short words: 11 (need 12-25)","Балансирует между желанием всем угодить и потребностью быть в центре внимания."
"asc_mars","libra_virgo","78","short words: 11 (need 12-25)","Вежливый перфекционист, который анализирует всё до мелочей и даёт непрошеные сов"
"asc_mars","libra_libra","79","short words: 10 (need 12-25)","Избегает конфликтов любой ценой, но внутри переживает из-за невысказанного мнени"
"asc_mars","libra_scorpio","80","short words: 9 (need 12-25)","За внешним спокойствием скрывает напряжённую внутреннюю борьбу и недоверие."
"asc_mars","libra_sagittarius","81","full words: 83 (need 50-80)","Может затеять спор ради интереса, а потом искренне удивиться, что кто-то обиделс"
"asc_mars","libra_capricorn","82","banned: ""быть собой""","Может показаться холодным и замкнутым, пока не поймёт, что окружающие не настрое"
"asc_mars","libra_aquarius","83","full words: 82 (need 50-80)","Легко находит общий язык с кем угодно, но дружит только с теми, кто не лезет в д"
"asc_mars","libra_pisces","84","banned: ""будет""","Старается угодить всем вокруг, но потом удивляется, почему его собственные желан"
"asc_mars","scorpio_aries","85","short words: 11 (need 12-25)","Долго терпит, но однажды взрывается так, что окружающие не успевают увернуться."
"asc_mars","scorpio_leo","89","banned: ""будет""","Копит обиду годами, чтобы однажды взорваться — и никто не поймёт, что случилось."
"asc_mars","scorpio_scorpio","92","full words: 81 (need 50-80); banned: ""будет""","Не прощает пустых слов и никогда не забывает, кто и что сказал на самом деле."
"asc_mars","scorpio_capricorn","94","banned: ""будет""","Долго выжидает подходящий момент, а когда действует — продумывает каждый шаг нап"
"asc_mars","sagittarius_taurus","98","short words: 9 (need 12-25)","Загорается идеей, но долго раскачивается, прежде чем начать действовать."
"asc_mars","sagittarius_gemini","99","banned: ""будет""","Легко заводит разговор с незнакомцем, а через час уже планирует совместное путеш"
"asc_mars","sagittarius_leo","101","full words: 44 (need 50-80)","Разжигает в других интерес своими идеями и не боится брать на себя главную роль."
"asc_mars","sagittarius_virgo","102","short words: 11 (need 12-25)","Сочетает жажду новых впечатлений с привычкой всё заранее взвешивать и проверять."
"asc_mars","sagittarius_libra","103","short words: 10 (need 12-25); full words: 47 (need 50-80); banned: ""будет""","Стремится к справедливости и умеет улаживать споры без лишнего напора."
"asc_mars","capricorn_taurus","110","banned: ""ресурс""","Упёртый как бык, но надёжный как скала — с ним можно идти в разведку."
"asc_mars","capricorn_gemini","111","short words: 10 (need 12-25)","Серьёзный стратег, который умеет шутить и менять планы на ходу."
"asc_mars","capricorn_cancer","112","short words: 11 (need 12-25)","С виду холоден и неприступен, но внутри прячет очень ранимую душу."
"asc_mars","capricorn_libra","115","short words: 10 (need 12-25)","Сочетает амбициозность с дипломатией, умея добиваться своего без открытых конфли"
"asc_mars","capricorn_scorpio","116","short words: 10 (need 12-25); banned: ""энергия""","Целеустремлённый и скрытный, он не останавливается, пока не добьётся своего."
"asc_mars","capricorn_sagittarius","117","short words: 11 (need 12-25)","Постоянно ищет баланс между ответственностью и жаждой приключений, редко находя "
"asc_mars","aquarius_scorpio","128","banned: ""глубина""","Внешне спокоен и независим, но внутри кипят страсти — он видит людей насквозь и "
"asc_mars","aquarius_sagittarius","129","short words: 11 (need 12-25); full words: 93 (need 50-80); banned: ""будет""","Собирается в отпуск, а в итоге едет волонтёрить в другую страну."
"asc_mars","aquarius_capricorn","130","banned: ""ресурс""","Сначала выстроит чёткий план, а потом решит, что в нём можно улучшить."
"asc_mars","aquarius_pisces","132","short words: 11 (need 12-25)","Даёт дельный совет, а через час предлагает делать что-то совершенно противополож"
"asc_mars","pisces_cancer","136","banned: ""будет""","За внешней мягкостью скрывается упрямый защитник, который никого не подпустит к "
"asc_mars","pisces_sagittarius","141","full words: 111 (need 50-80)","Следует за порывом души, даже если маршрут проложен только в его воображении, и "
"asc_mars","pisces_capricorn","142","full words: 109 (need 50-80)","Не спешит открывать свои истинные чувства, но однажды может разорвать отношения "
"asc_mars","pisces_aquarius","143","full words: 100 (need 50-80)","Способен внезапно исчезнуть из общей суеты, чтобы переждать в своем мире, а пото"
"asc_mars","pisces_pisces","144","full words: 116 (need 50-80)","Может забыть о важной встрече, потому что засмотрелся на облака, а потом искренн"
"asc_mercury","aries_aries","1","banned: ""энергия""","Сначала делает, потом думает — и это не про безрассудство, а про скорость реакци"
"asc_mercury","aries_taurus","2","banned: ""будет""","Сначала бросается в дело с головой, потом упрямо доделывает до конца — даже без "
"asc_mercury","aries_leo","5","full words: 81 (need 50-80); banned: ""будет""","Сначала загорается идеей, потом долго не может понять, почему остальные не разде"
"asc_mercury","aries_virgo","6","banned: ""будет""","Хочет сделать быстро, но тратит время на проверку каждой мелочи — и в итоге дела"
"asc_mercury","aries_scorpio","8","full words: 85 (need 50-80)","Сначала выясняет все скрытые мотивы, а только потом решает, стоит ли вообще в эт"
"asc_mercury","taurus_aries","13","short words: 11 (need 12-25)","Долго запрягает, но если решил — сносит всё на своём пути."
"asc_mercury","taurus_cancer","16","short words: 11 (need 12-25); full words: 85 (need 50-80)","Домосед с ранимой душой: ценит стабильность, но внутри — океан чувств."
"asc_mercury","taurus_sagittarius","21","full words: 86 (need 50-80)","Тянется к приключениям и новым идеям, но никогда не забывает о комфорте и привыч"
"asc_mercury","taurus_capricorn","22","banned: ""будет""","Долго взвешивает решения, но если принял — не отступит, пока не добьётся результ"
"asc_mercury","gemini_taurus","26","banned: ""будет""","Сначала долго собирает информацию, а когда решение принято — переубедить его поч"
"asc_mercury","gemini_sagittarius","33","full words: 81 (need 50-80)","Может увлечённо рассказывать о том, что сам придумал только что, и верить в это."
"asc_mercury","gemini_pisces","36","full words: 83 (need 50-80)","Меняет мнение под влиянием эмоций и часто не может объяснить, почему поступил им"
"asc_mercury","cancer_taurus","38","banned: ""будет""","Предпочитает не торопиться с выводами, но если что-то решил — переубедить почти "
"asc_mercury","cancer_virgo","42","short words: 10 (need 12-25)","Всё организует до мелочей, чтобы никто не волновался, включая себя."
"asc_mercury","cancer_libra","43","short words: 10 (need 12-25); banned: ""будет""","Старается угодить всем, но в итоге часто остаётся недоволен собой."
"asc_mercury","cancer_scorpio","44","full words: 85 (need 50-80)","Не прощает предательства, но сам помнит каждую мелочь, которую вы для него сдела"
"asc_mercury","cancer_sagittarius","45","full words: 83 (need 50-80)","В душе он искатель приключений, но первые полчаса в новом городе уже скучает по "
"asc_mercury","cancer_capricorn","46","full words: 89 (need 50-80)","Снаружи — скала, внутри — острое желание, чтобы его защитили и о нём позаботилис"
"asc_mercury","leo_taurus","50","banned: ""будет""","Не любит менять своё мнение и может полчаса спорить о том, какой кофе лучше."
"asc_mercury","leo_leo","53","short words: 11 (need 12-25); banned: ""будет""","Говорит так, будто его слушает весь зал, даже если вокруг никого."
"asc_mercury","leo_libra","55","short words: 11 (need 12-25)","Умеет сказать комплимент так, что тот звучит искренне и к месту."
"asc_mercury","leo_scorpio","56","short words: 11 (need 12-25)","Смотрит в глаза так пристально, что собеседнику становится не по себе."
"asc_mercury","leo_pisces","60","banned: ""уникальность""","Может рассказывать захватывающие истории так, что сам начинает в них верить боль"
"asc_mercury","virgo_aries","61","short words: 11 (need 12-25)","Бросается в дело с головой, а потом мучительно перепроверяет каждую мелочь."
"asc_mercury","virgo_gemini","63","short words: 11 (need 12-25)","Умный собеседник, который всё раскладывает по полочкам даже в хаотичном разговор"
"asc_mercury","virgo_cancer","64","short words: 10 (need 12-25)","Кажется отстранённым и рассудительным, пока не задеть его за живое."
"asc_mercury","virgo_leo","65","full words: 98 (need 50-80)","Сначала перепроверит всё трижды, а потом потребует, чтобы это заметили и похвали"
"asc_mercury","virgo_virgo","66","full words: 89 (need 50-80); banned: ""будет""","Перепроверит список дел трижды, а потом найдёт ещё один пункт, который забыл доб"
"asc_mercury","virgo_libra","67","full words: 92 (need 50-80)","Долго выбирает между идеальным порядком и красивой картинкой, а в итоге делает и"
"asc_mercury","virgo_scorpio","68","full words: 89 (need 50-80)","Подмечает каждую мелочь, но молчит до тех пор, пока не сложит полную картину."
"asc_mercury","virgo_capricorn","70","short words: 10 (need 12-25)","Прежде чем действовать, составит подробный план и проверит всё трижды."
"asc_mercury","virgo_pisces","72","full words: 82 (need 50-80)","Пытается выстроить логичную систему из своих ощущений и постоянно в ней путается"
"asc_mercury","libra_taurus","74","short words: 11 (need 12-25); banned: ""будет""","Предпочитает стабильность и уют, но ради гармонии готов уступить в мелочах."
"asc_mercury","libra_cancer","76","short words: 11 (need 12-25); banned: ""будет""","Старается угодить всем, но внутри очень раним и долго помнит обиды."
"asc_mercury","libra_virgo","78","short words: 11 (need 12-25)","Поправит салфетку на столе и только потом начнёт разговор о высоком."
"asc_mercury","libra_sagittarius","81","banned: ""будет""","Заводит разговор с незнакомцами и к концу вечера уже строит с ними общие планы."
"asc_mercury","libra_capricorn","82","full words: 81 (need 50-80)","Говорит взвешенно, но внутри часто уже давно всё решил и ждёт остальных."
"asc_mercury","libra_aquarius","83","short words: 10 (need 12-25)","Придумывает идеи, которые сначала вызывают недоумение, а потом — восторг."
"asc_mercury","libra_pisces","84","short words: 11 (need 12-25); banned: ""будет""","Считывает настроение мгновенно и подбирает слова так, чтобы никого не задеть."
"asc_mercury","scorpio_leo","89","full words: 87 (need 50-80); banned: ""будет""","Смотрит исподлобья, говорит с королевским размахом, а внутри переживает драмы вс"
"asc_mercury","scorpio_virgo","90","short words: 11 (need 12-25); full words: 85 (need 50-80)","Видит мелочи, которые другие упускают, и подолгу переваривает каждую найденную т"
"asc_mercury","scorpio_libra","91","full words: 85 (need 50-80)","Гладит по шерсти, но не доверяет никому до конца — в его голове всегда запасной "
"asc_mercury","scorpio_scorpio","92","short words: 11 (need 12-25); full words: 87 (need 50-80)","Выведать секреты умеет мастерски, но сам не раскрывается даже под пыткой."
"asc_mercury","sagittarius_aries","97","short words: 11 (need 12-25)","Сначала прыгает, потом смотрит — и почти всегда успевает приземлиться удачно."
"asc_mercury","sagittarius_virgo","102","short words: 11 (need 12-25)","Мечтает о приключениях, но перед поездкой проверяет маршрут до последней останов"
"asc_mercury","sagittarius_libra","103","short words: 10 (need 12-25)","Предпочитает обсуждать всё дипломатично, даже если внутри кипит желание спорить."
"asc_mercury","sagittarius_sagittarius","105","short words: 10 (need 12-25); banned: ""будет""","Может за полчаса уговорить компанию лететь на другой конец света."
"asc_mercury","sagittarius_capricorn","106","short words: 9 (need 12-25)","Говорит о путешествиях с таким видом, будто составляет бизнес-план."
"asc_mercury","sagittarius_aquarius","107","short words: 11 (need 12-25); banned: ""будет""","Сначала придумывает гениальную идею, а потом ищет, кому бы её продать."
"asc_mercury","sagittarius_pisces","108","short words: 9 (need 12-25); banned: ""будет""","Мечтает о великом приключении, а пока просто собирает рюкзак."
"asc_mercury","capricorn_taurus","110","banned: ""ресурс""","Упрямо гнёт свою линию, но так, что к утру у всех есть чёткий план и горячий чай"
"asc_mercury","capricorn_gemini","111","full words: 81 (need 50-80)","Может за час выучить основы квантовой физики и тут же объяснить их пятилетнему."
"asc_mercury","capricorn_virgo","114","full words: 86 (need 50-80)","Каждое дело он доводит до совершенства, не упуская ни одной мелочи, но рискует у"
"asc_mercury","capricorn_libra","115","short words: 11 (need 12-25); full words: 94 (need 50-80)","Он умеет дипломатично настоять на своём, сохраняя внешнее спокойствие и изяществ"
"asc_mercury","capricorn_scorpio","116","full words: 89 (need 50-80)","Он ничего не забывает и ничего не прощает, но расплачивается холодной вежливость"
"asc_mercury","capricorn_sagittarius","117","full words: 89 (need 50-80)","Снаружи серьёзный и сдержанный, внутри — вечный путешественник, который уже собр"
"asc_mercury","capricorn_capricorn","118","full words: 83 (need 50-80)","Его не сбить с курса — он и есть этот курс, проложенный по карте, которую сам же"
"asc_mercury","capricorn_aquarius","119","full words: 86 (need 50-80)","Выглядит как консервативный банкир, а мыслит как изобретатель, который паяет веч"
"asc_mercury","capricorn_pisces","120","short words: 11 (need 12-25); full words: 92 (need 50-80)","Надёжная крепость с секретной комнатой, полной красок, стихов и детских воспомин"
"asc_mercury","aquarius_leo","125","full words: 82 (need 50-80)","Обожает удивлять окружающих неожиданными идеями, но требует, чтобы его заметили "
"asc_mercury","aquarius_virgo","126","full words: 82 (need 50-80)","Может найти логическое обоснование даже самой безумной идее и превратить её в ра"
"asc_mercury","aquarius_libra","127","full words: 81 (need 50-80)","Умеет объединять несовместимых людей вокруг одной идеи, оставаясь при этом беспр"
"asc_mercury","aquarius_sagittarius","129","banned: ""будет""","Может за час переубедить десять человек, а на следующий день забыть, о чём говор"
"asc_mercury","aquarius_capricorn","130","short words: 10 (need 12-25)","Сочетает умение видеть глобальные тренды с железной практичностью в мелочах."
"asc_mercury","pisces_aries","133","short words: 11 (need 12-25)","Сначала бросается в дело, а потом удивляется сам себе и последствиям."
